make,model,version,year,arrivalYear,batteryKwh,usableBatteryKwh,batteryType,wltpKm,consumptionKwh100,powerKw,drivetrain,acKw,dcKw,charge10to80Min,acceleration0to100Sec,trunkLiters
Mercedes-Benz,CLA,200 EQ,2025,2025,58,55,NMC,541,12.3,165,RWD,11,320,22,7.5,455
Mercedes-Benz,Clase G,G 580 con tecnología EQ,2024,2024,116,,NMC,473,,432,AWD,11,200,32,4.7,340
Mercedes-Benz,EQE Berlina,350+ Edition,2024,2022,96,90.6,NMC,689,16.1,215,RWD,11,170,32,6.4,430
Mercedes-Benz,EQE Berlina,350+ Edition,2025,2022,96,90.6,NMC,700,16.1,235,RWD,11,170,32,6.4,430
Mercedes-Benz,EQE SUV,350+ SUV Edition,2024,2023,96,90.6,NMC,617,18.1,215,RWD,11,170,32,6.6,520
Mercedes-Benz,EQE SUV,350+ SUV Edition,2025,2023,96,90.6,NMC,600,18.5,235,RWD,11,170,32,6.6,520
Mercedes-Benz,EQS Berlina,450+ Edition,2024,2021,118,111,NMC,799,16.9,265,RWD,11,200,31,6.2,610
Mercedes-Benz,EQS Berlina,450+ Berlina,2026,2021,122,122,NMC,867,16.6,300,RWD,22,350,27,5.9,610
Mercedes-Benz,EQS SUV,450 4MATIC Edition SUV,2024,2022,118,111,NMC,656,20.7,265,AWD,11,200,31,6.7,645
Mercedes-Benz,GLA,Eléctrico,2026,2026,85,,NMC,600,,180,FWD,11,320,22,7.0,435
Mercedes-Benz,GLB,250+ con tecnología EQ,2026,2025,85,,NMC,600,15.9,200,RWD,11,320,22,7.0,565
Mercedes-Benz,GLB,350 4MATIC con tecnología EQ,2026,2025,85,,NMC,580,16.0,260,AWD,11,320,22,7.0,565
Mercedes-Benz,GLC,400 4MATIC con tecnología EQ,2026,2025,94,,NMC,700,16.0,360,AWD,11,320,22,4.0,570
Mercedes-Benz,GLC,400 4MATIC con tecnología EQ Long Range Edition,2026,2025,94,,NMC,715,15.1,360,AWD,11,320,22,4.0,570
Opel,Frontera Electric,54 kWh,2025,2025,54,53.5,LFP,406,15.8,83,FWD,11,100,,14.2,
Renault,4 E-Tech,evolution 40 kWh,2025,2025,40,,NMC,308,,90,FWD,11,100,30,9.2,420
Renault,4 E-Tech,evolution 52 kWh,2025,2025,52,,NMC,409,,110,FWD,11,100,30,8.5,420
Renault,4 E-Tech,iconic 52 kWh,2025,2025,52,,NMC,409,,110,FWD,11,100,30,8.5,420
Renault,4 E-Tech,techno 52 kWh,2025,2025,52,,NMC,409,,110,FWD,11,100,30,8.5,420
Renault,5 E-Tech,40 kWh,2025,2024,40,40,NMC,312,,70,FWD,11,80,30,9.0,326
Renault,5 E-Tech,52 kWh,2025,2024,52.0,52.0,NMC,410,,110,FWD,11,100,,,326
Renault,Scenic E-Tech,esprit Alpine 87 kWh,2024,2024,87,,NMC,623,16.8,160,FWD,11,150,37,7.9,545
Renault,Scenic E-Tech,iconic 87 kWh,2024,2024,87,,NMC,623,16.8,160,FWD,11,150,37,7.9,545
Renault,Scenic E-Tech,techno 87 kWh,2024,2024,87,,NMC,623,16.8,160,FWD,11,150,37,7.9,545
Renault,Scenic E-Tech,220 Gran Autonomía,2026,2024,87.0,87.0,NMC,606,,160,FWD,11,150,,8.0,545
Renault,Twingo E-Tech,evolution 27.5 kWh,2026,2026,27.5,,NMC,263,12.2,60,RWD,6.6,50,28,12.1,360
Renault,Twingo E-Tech,techno 27.5 kWh,2026,2026,27.5,,NMC,263,12.2,60,RWD,6.6,50,28,12.1,360
Skoda,Elroq,85,2025,2025,82.0,77.0,NMC,580,15.2,210,RWD,11,175,28,6.6,470
Skoda,Enyaq,85,2025,2021,82.0,77.0,NMC,582,15.0,210,RWD,11,165,29,6.6,585
Skoda,Enyaq,85x AWD,2025,2021,82,77,NMC,550,,210,AWD,11,175,28,6.0,585
Toyota,bZ4X,250 Advance,2025,2022,73.1,,NMC,569,13.9,165,FWD,11,150,,, 
Toyota,bZ4X,250E Advance 73 kWh,2025,2022,73,,NMC,569,13.9,165,FWD,11,150,30,7.5,452
Toyota,bZ4X,343 Spirit AWD-i,2025,2022,73,,NMC,468,15.9,252,AWD,22,150,30,5.1,452
Toyota,C-HR+,250 Advance,2025,2025,77,,NMC,607,,165,FWD,22,150,28,,
Toyota,C-HR+,343 Spirit AWD,2025,2025,77,,NMC,609,,252,AWD,11,150,30,5.2,388
Toyota,C-HR+,343 Spirit AWD-i,2025,2025,77,,NMC,501,15.7,252,AWD,22,150,,5.2,416
Volkswagen,ID.3,Pro S,2024,2020,77,,NMC,557,15.7,150,RWD,11,175,26,7.1,385
Volkswagen,ID.3,Pro S,2025,2020,79,77.0,NMC,562,15.8,150,RWD,11,175,26,7.1,385
Volkswagen,ID.4,Pro,2024,2021,77,77.0,NMC,534,16.4,210,RWD,11,175,28,6.7,543
Volkswagen,ID.4,Pro Black,2025,2021,77,77.0,NMC,550,16.4,210,RWD,11,175,28,6.7,543
Volkswagen,ID.4,GTX,2025,2021,79,77,NMC,520,,250,AWD,11,185,26,5.4,543
Volkswagen,ID.5,Pro,2025,2022,77,,NMC,558,,210,RWD,11,175,28,6.7,549
Volkswagen,ID.5,GTX,2025,2022,79,,NMC,532,,250,AWD,11,185,26,5.4,549
Volkswagen,ID.7,Pro,2024,2023,77,,NMC,613,,210,RWD,11,175,28,6.6,532
Volkswagen,ID.7,GTX,2024,2023,86,,NMC,595,,250,AWD,11,200,26,5.4,532
Volkswagen,ID.7,Pro S,2024,2023,86,,NMC,702,,210,RWD,11,200,26,6.6,532
Volkswagen,ID.7 Tourer,Pro,2024,2024,77,,NMC,590,,210,RWD,11,175,28,6.6,605
Volkswagen,ID.7 Tourer,GTX,2024,2024,86,,NMC,584,,250,AWD,11,200,26,5.5,605
Volkswagen,ID.7 Tourer,Pro S,2024,2024,86,,NMC,689,,210,RWD,11,200,26,6.7,605
Volkswagen,ID. Buzz,Pro,2024,2024,86,,NMC,457,,210,RWD,11,200,26,7.8,1121
Volvo,EX30,Long Range RWD,2024,2024,69,65,NMC,475,17.0,200,RWD,11,175,27,5.3,400
Tesla,Model 3,RWD Highland,2024,2019,60,,LFP,513,13.2,208,RWD,11,170,,,
Tesla,Model 3,Premium Long Range RWD Highland,2024,2019,79.7,,NMC,629,13.6,210,RWD,11,250,,,
Tesla,Model 3,Premium Long Range AWD Highland,2024,2019,79.7,,NMC,629,14.3,366,AWD,11,250,,,
Tesla,Model 3,Performance AWD Highland,2024,2019,79.7,,NMC,528,,338,AWD,11,250,,,
Tesla,Model Y,RWD Juniper,2025,2021,62.5,60,LFP,500,,188,RWD,11,250,,,
Tesla,Model Y,Premium Long Range RWD Juniper,2025,2021,78.1,75,NMC,622,,250,RWD,11,250,,,
Tesla,Model Y,Premium Long Range AWD Juniper,2025,2021,78.1,75,NMC,568,,378,AWD,11,250,,,
Tesla,Model Y,Performance AWD Juniper,2025,2021,78.1,75,NMC,580,,378,AWD,11,250,,,
XPeng,G6,RWD Standard Range,2024,2024,66.0,,LFP,435,,190,RWD,11,215,20,6.6,571
XPeng,G6,RWD Standard Range,2026,2024,68.5,67.8,LFP,455,,185,RWD,11,382,12,6.3,571
XPeng,G6,RWD Long Range,2024,2024,87.5,87.5,NMC,570,,210,RWD,11,280,20,6.2,571
XPeng,G6,RWD Long Range,2025,2024,80.8,80.0,LFP,525,,218,RWD,11,451,12,6.2,571
XPeng,G6,Performance AWD,2024,2024,87.5,87.5,NMC,550,,350,AWD,11,280,20,4.1,571
XPeng,G6,Performance AWD,2025,2024,80.8,80.0,LFP,510,,358,AWD,11,451,12,4.1,571
XPeng,G9,RWD Standard Range,2024,2024,78.2,75.8,LFP,460,,230,RWD,11,260,20,6.4,731
XPeng,G9,RWD Standard Range,2025,2024,79.0,78.2,LFP,502,,258,RWD,11,445,12,6.6,731
XPeng,G9,RWD Long Range,2024,2024,98.0,93.1,NMC,570,,230,RWD,11,300,20,6.4,731
XPeng,G9,RWD Long Range,2025,2024,93.1,,LFP,585,,258,RWD,11,525,12,6.6,731
XPeng,G9,AWD Performance,2024,2024,98.0,93.1,NMC,520,,405,AWD,11,300,20,4.4,731
XPeng,G9,AWD Performance,2025,2024,93.1,,LFP,540,,423,AWD,11,525,12,4.0,731
XPeng,P7+,RWD Standard Range,2026,2026,61.7,,LFP,455,,180,RWD,11,350,20,6.9,573
XPeng,P7+,RWD Long Range,2026,2026,74.9,,LFP,530,,230,RWD,11,446,12,6.2,573
XPeng,P7+,AWD Performance,2026,2026,74.9,,LFP,500,,370,AWD,11,446,12,4.3,573
